订单编号,单据编号,单据类型,商品编号,商户订单号,商品名称,费用发生时间,费用计费时间,费用结算时间,费用项,金额,币种,商家应收/应付,钱包结算备注,店铺号,京东门店编号,品牌门店编号,门店名称,备注,收支方向,账单日期,商品数量
="3425494010209815",="50700126030218632925920107",订单,="0",="202603030000011463290270031",,2026-03-02 10:48:07,2026-03-02 15:29:12,2026-03-03 08:43:52,商品保险服务费,-0.92,CNY,应付,2026年3月2日商家结算款,21796493,,,,JD50333425494010209815,支出,20260302,0
="3425494010209815",="50700126030218633000537807",订单,="0",="202603030000011463290270031",,2026-03-02 10:48:07,2026-03-02 15:32:33,2026-03-03 08:43:52,商品保险服务费,-4.73,CNY,应付,2026年3月2日商家结算款,21796493,,,,JD50133425494010209815,支出,20260302,0
="3425437008490625",="50700126030218632919950907",非销售单,="0",="202603030000011463290270031",,2026-03-02 11:56:23,2026-03-02 15:29:14,2026-03-03 08:43:52,运费保险服务费,-0.20,CNY,应付,2026年3月2日商家结算款,21796493,,,,JD60773425437008490625,支出,20260302,0
="3420423007260012",="10100126030218627622374207",订单,="10176597499228",="202603030000011463290270031","天旗防爆电动扳手无刷大扭力轮胎汽修工具化工厂风炮套筒冲击扳手 600N,M 4A/21V【俩电一充】",2026-02-25 08:28:44,2026-02-25 08:32:13,2026-03-03 08:43:52,货款,1629.00,CNY,应收,2026年3月2日商家结算款,21796493,,,,,收入,20260302,1
="3425494010209815",="50700126030218632942331607",非销售单,="0",="202603030000011463290270031",,2026-03-02 10:48:07,2026-03-02 15:29:56,2026-03-03 08:43:52,运费保险服务费,-1.07,CNY,应付,2026年3月2日商家结算款,21796493,,,,JD59993425494010209815,支出,20260302,0
="3425494010209815",="50700126030218632923418407",非销售单,="0",="202603030000011463290270031",,2026-03-02 10:48:07,2026-03-02 15:29:01,2026-03-03 08:43:52,运费保险服务费,-0.21,CNY,应付,2026年3月2日商家结算款,21796493,,,,JD60773425494010209815,支出,20260302,0
="3423483003585737",="50700126030218620822371707",订单,="0",="202603030000011463290270031",,2026-02-28 15:27:27,2026-03-02 09:04:13,2026-03-03 08:43:52,商品保险服务费,-2.25,CNY,应付,2026年3月2日商家结算款,21796493,,,,JD50133423483003585737,支出,20260302,0
="3425437008490625",="50700126030218632920252307",订单,="0",="202603030000011463290270031",,2026-03-02 11:56:23,2026-03-02 15:29:12,2026-03-03 08:43:52,商品保险服务费,-0.92,CNY,应付,2026年3月2日商家结算款,21796493,,,,JD50333425437008490625,支出,20260302,0
="3425437008490625",="50700126030218632979534307",订单,="0",="202603030000011463290270031",,2026-03-02 11:56:23,2026-03-02 15:31:34,2026-03-03 08:43:52,商品保险服务费,-4.74,CNY,应付,2026年3月2日商家结算款,21796493,,,,JD50133425437008490625,支出,20260302,0
="3420423007260012",="10100126030218627622375107",订单,="10176597499228",="202603030000011463290270031","天旗防爆电动扳手无刷大扭力轮胎汽修工具化工厂风炮套筒冲击扳手 600N,M 4A/21V【俩电一充】",2026-02-25 08:28:44,2026-02-25 08:32:13,2026-03-03 08:43:52,交易服务费,-9.77,CNY,应付,2026年3月2日商家结算款,21796493,,,,,支出,20260302,1
