账期,账单大类,业务大类,业务小类,订单号,子订单号,下单时间,确认收货时间,商品ID,sku,商品名称,数量,单价（元）,订单实际金额（元）,退款单号,退款金额（元）,收/付渠道,业务流水号,商户订单号,打款时间,打款更新时间,备注
20260329	,货款收入	,交易货款	,五金/工具	,4502169505079009200	,4502169505079009200	,2026-03-19 12:40:56	,2026-03-29 16:03:36	,965517205874	,6016029152234|颜色分类#3B310N 5.0A/20V 【俩电标配】[YPEX-DBS/5.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,10	,1099	,7850	,	,0	,支付宝	,2026031923001114311421094043	,T200P4502169505079009200	,2026-03-29 16:03:36	,2026-03-29 16:03:36	,	
20260316	,货款收入	,交易货款	,五金/工具	,4502095272088016437	,4502095272088016437	,2026-03-06 13:37:20	,2026-03-16 14:44:52	,940688973701	,6181653378538|颜色分类#3B4.0A/20V【俩电标配】[EXDZ-20V/4.0JMB-TQ]	,天旗防爆角磨机磨光机手砂轮无刷锂电切割抛光机电动多功能打磨机	,1	,999	,849	,	,0	,支付宝	,2026030622001163681457729365	,T200P4502095272088016437	,2026-03-16 14:44:52	,2026-03-16 14:44:52	,	
20260328	,货款收入	,交易货款	,五金/工具	,2701782230044008152	,2701782230044008152	,2026-03-25 21:13:36	,2026-03-28 21:02:03	,965517205874	,6042710468094|颜色分类#3B310N.M 5.0A/20V 【俩电标配+22*60防爆套筒】[YPEX-DBS/5.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,1	,1279	,859	,	,0	,聚合结算账户渠道	,4308202285202603257925344786	,	,2026-03-28 21:02:03	,2026-03-28 21:02:03	,	
20260308	,货款收入	,交易货款	,五金/工具	,5083696946197907036	,5083696946197907036	,2026-02-25 18:40:08	,2026-03-08 14:23:02	,965517205874	,6016029152235|颜色分类#3B310N 4.0A/20V 【俩电标配+22*43防爆套筒】[YPEX-DBS/4.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,1	,1099	,829	,	,0	,支付宝	,2026022523001141521408504637	,T200P5083696946197907036	,2026-03-08 14:23:02	,2026-03-08 14:23:02	,	
20260328	,货款收入	,交易货款	,五金/工具	,4502164358029026449	,4502164358029026449	,2026-03-17 06:48:05	,2026-03-28 09:22:45	,965517205874	,6016029152228|颜色分类#3B310N 5.0A/20V【俩电标配+22*42防爆套筒】[YPEX-DBS/5.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,2	,1159	,1668	,	,0	,支付宝	,2026031723001147821406340844	,T200P4502164358029026449	,2026-03-28 09:22:45	,2026-03-28 09:22:45	,	
20260326	,货款收入	,交易货款	,五金/工具	,2701719661059130377	,2701719661059130377	,2026-03-13 09:16:06	,2026-03-26 09:47:15	,965517205874	,6016029152233|颜色分类#3B310N 4.0A/20V 【俩电标配】[YPEX-DBS/4.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,2	,999	,1560	,	,0	,支付宝	,2026031322001199231421198851	,T200P2701719661059130377	,2026-03-26 09:47:15	,2026-03-26 09:47:15	,	
20260324	,货款收入	,交易货款	,五金/工具	,2701717681047005052	,2701717681047005052	,2026-03-12 20:29:37	,2026-03-24 08:39:49	,965517205874	,6016029152228|颜色分类#3B310N 5.0A/20V【俩电标配+22*42防爆套筒】[YPEX-DBS/5.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,1	,1199	,849	,	,0	,支付宝	,2026031223001142831408371797	,T200P2701717681047005052	,2026-03-24 08:39:49	,2026-03-24 08:39:49	,	
20260328	,货款收入	,交易货款	,五金/工具	,4502143656016003014	,4502143656016003014	,2026-03-16 13:55:11	,2026-03-28 09:06:17	,937006851899	,6182111287816|颜色分类#3B900N 7.5A/21V【俩电标配+22*60防爆套筒】[YPEX-DBS/90CGB-TQ]	,天旗防爆电动扳手化工厂石油套筒无刷大扭力轮胎汽修防爆电动工具	,2	,2999	,5298	,	,0	,支付宝	,2026031623001134561435040176	,T200P4502143656016003014	,2026-03-28 09:06:17	,2026-03-28 09:06:17	,	
20260321	,货款收入	,交易货款	,五金/工具	,4502119609143009841	,4502119609143009841	,2026-03-11 12:10:13	,2026-03-21 16:02:38	,941174116084	,6181515206318|颜色分类#3B2.0A/20V 无冲击【一电标配】[EXDZ-20V/TCA-TQ]	,天旗防爆手电钻工业手持无刷锂电化工厂冲击钻防爆电动工具	,1	,999	,819	,	,0	,支付宝	,2026031122001198721426402745	,T200P4502119609143009841	,2026-03-21 16:02:38	,2026-03-21 16:02:38	,	
20260314	,货款收入	,交易货款	,五金/工具	,4502128286055018649	,4502128286055018649	,2026-03-12 11:40:53	,2026-03-14 16:31:47	,965517205874	,6016029152228|颜色分类#3B310N 5.0A/20V【俩电标配+22*42防爆套筒】[YPEX-DBS/5.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,1	,1199	,849	,	,0	,聚合结算账户渠道	,4332002240202603121151665546	,	,2026-03-14 16:31:47	,2026-03-14 16:31:47	,	
